ticker,distance_pct,ma_rising,sector,market_cap,trailing_pe,ev_to_fcf,relative_volume,wyckoff_active
NGVC,0.010566220052280348,True,Consumer Defensive,632147712,13.446079,60.30563927043459,1.099418008443539,False
NXP,0.01400610359580359,True,Financial Services,897973888,25.0,,1.124113502424182,False
NRO,0.022216734280745467,True,Financial Services,187551024,8.222222,,0.8372067737638968,False
BCML,0.022942400027908753,True,Financial Services,340598464,25.991667,,0.9760599315998045,True
BBSI,0.032158379200055376,True,Industrials,755652928,23.268656,16.929268805615568,1.1836756503475234,False
SELF,0.032375220984848574,True,Real Estate,58591884,28.5,16.31889594010981,1.3320469233360899,False
ATLCL,0.041664558250748024,True,,,,,0.5502809533036234,False
PACK,0.042325100775502354,True,Consumer Cyclical,463952320,,36.533720064550835,1.2087524385350803,False
WM,0.0484392216582427,True,Industrials,90463543296,59.557896,48.23060215799262,1.0019177505968657,False
CIMP,0.054417954329517675,True,,,,,0.5081328751431844,False
TENX,0.05453569455709055,True,Healthcare,64369136,,0.808824999480217,2.1553342296597005,True
CUBB,0.061005018034416755,True,,,,,0.5382331106161841,False
TRNZ,0.06730720728695412,True,,,,,0.795148862444718,True
FN,0.0727320477332771,True,Technology,20490311680,49.004284,-246.90455181854196,0.9622571649371339,False
FMN,0.0803672936844228,True,Financial Services,87022144,9.763158,66.39800381492002,1.1836209436097802,True
SAJ,0.09698843319708443,True,,,,,0.2890596414196853,False
LEE,0.10165074860651495,True,Communication Services,181680144,,22.68066941171773,0.7594970644218654,False
ATII,0.10435297647762283,True,Financial Services,314837600,35.466667,,0.9591972257064857,False
AFB,0.10901585575385185,True,Financial Services,314469600,13.674999,74.54397134247036,0.6837067021375005,False
WTM,0.11829667714796362,True,Financial Services,5058559488,4.8543553,8.314042317321688,0.9793356003138897,False
CNH,0.1220639104743471,True,Industrials,17255542784,42.92,67.59523561946803,1.191196121946201,True
NJR,0.15485410454754783,True,Utilities,5587018752,15.33518,-36.47645317020473,1.1985698185333649,False
TCBI,0.15948043410734802,True,Financial Services,4384824832,13.047866,,1.0696921510939625,False
RSF,0.16396221081144755,True,Financial Services,62080108,13.272727,,0.7615583843059458,False
MAR,0.1644592762770798,True,Consumer Cyclical,92462505984,36.782154,53.27889825728038,1.2461923572942748,False
RSG,0.16518290842200992,True,Industrials,65609195520,30.47795,41.077505485690686,0.9295475713724739,False
BVN,0.1695457571990726,True,Basic Materials,8787945472,8.439024,63.988875693981804,0.5986125012468227,False
TLNC,0.16972028798661437,True,Financial Services,432936960,,,1.0305225038799792,False
HTFC,0.17151049708804347,True,,,,,1.1617806731813245,True
MFM,0.1834857708322275,True,Financial Services,222825088,13.195122,55.91451089560498,1.8864917549128075,False
GECCI,0.1853670867458582,True,,,,,0.279383429672447,True
GDL,0.1854954330002174,True,Financial Services,91738944,11.992858,,0.6699789220114424,False
AES,0.19198524782688672,True,Utilities,10490549248,5.509363,-16.01316925356523,0.5934844512762815,False
BLLN,0.21476501160264316,True,Healthcare,4598376960,137.25352,348.4814964112472,1.5490446658332666,False
AXS,0.22208985238904075,True,Financial Services,7330300928,7.0819087,3.622629644189554,1.3029541684590753,False
QSR,0.22742920619587495,True,Consumer Cyclical,34312513536,18.819096,24.639078804895536,0.6552862904269544,True
MDAI,0.22805040610971117,True,Healthcare,50530340,,-75.54490736427164,0.23153373332701668,False
NTIC,0.23014062225121013,True,Basic Materials,76790288,,-29.605967922121742,0.8418947177016093,False
BTE,0.23073034375150286,True,Energy,3048512000,,-10.983557051549761,0.8215198127702147,False
GECCH,0.2318652521116218,True,,,,,0.3458049886621315,False
SSBI,0.23293744615596917,True,Financial Services,87354984,39.120304,,1.7938160975215953,False
STRO,0.23454547526592268,True,Healthcare,353178944,,-1.9811816269006313,0.8024858238911494,False
INOD,0.23586382400758735,True,Technology,2007324928,48.401577,10.996312069142954,0.9702117899691659,True
BKSY,0.23833531194819824,True,Industrials,1304274944,,-18.074318141281747,0.5429816529318005,False
TITN,0.25032068670013574,True,Industrials,430624288,,6.36339586869059,1.0884662950820914,False
WHFCL,0.25252250318676445,True,,,,,0.8224674022066198,False
CAAS,0.26325392568882844,True,Consumer Cyclical,137578400,3.2112677,2.372786821351504,0.6474426743465422,False
NRK,0.27801741030238014,True,Financial Services,917715456,32.875004,,0.9418489944384084,False
BBAR,0.27937084734243656,True,Financial Services,3249405696,16.747368,,0.7250678709551232,False
BKD,0.2844468894313361,True,Healthcare,3099847680,,357.18907016244935,1.1353932837158263,False
RBC,0.29201970751496414,True,Industrials,17591459840,54.960438,64.59021155616453,1.1278300715559468,False
BCX,0.2926211589923694,True,Financial Services,965174208,4.5214286,,0.8310919369717722,False
